url,domain,section,slug,label,title
https://www.foxnews.com/lifestyle/jack-carrs-eisenhower-d-days-memo-noble-undertaking,www.foxnews.com,lifestyle,jack-carrs-eisenhower-d-days-memo-noble-undertaking,fox,Jack Carr recalls Gen. Eisenhower's D-Day memo about 'great and noble undertaking'
https://www.foxnews.com/entertainment/bruce-willis-demi-moore-avoided-doing-one-thing-while-co-parenting-daughter-says,www.foxnews.com,entertainment,bruce-willis-demi-moore-avoided-doing-one-thing-while-co-parenting-daughter-says,fox,"Bruce Willis, Demi Moore avoided doing one thing while co-parenting, daughter says"
https://www.foxnews.com/politics/blinken-meets-with-qatars-prime-minister.print,www.foxnews.com,politics,blinken-meets-with-qatars-prime-minister.print,fox,"Blinken meets Qatar PM, says Israeli actions are not 'retaliation,' but 'defending the lives of its people'"
https://www.foxnews.com/entertainment/emily-blunt-says-toes-curl-when-people-their-kids-want-act-want-say-dont-do-it,www.foxnews.com,entertainment,emily-blunt-says-toes-curl-when-people-their-kids-want-act-want-say-dont-do-it,fox,"Emily Blunt says her ‘toes curl’ when people tell her their kids want to act: 'I want to say, don’t do it!'"
https://www.foxnews.com/media/the-view-co-host-cnn-commentator-ana-navarro-host-night-2-democratic-national-convention,www.foxnews.com,media,the-view-co-host-cnn-commentator-ana-navarro-host-night-2-democratic-national-convention,fox,"'The View' co-host, CNN commentator Ana Navarro to host night 2 of Democratic National Convention"
https://www.foxnews.com/politics/striking-boeing-workers-boo-after-democrat-sen-maria-cantwell-criticizes-trump.print,www.foxnews.com,politics,striking-boeing-workers-boo-after-democrat-sen-maria-cantwell-criticizes-trump.print,fox,Striking Boeing workers boo after Democratic Sen. Maria Cantwell criticizes Trump
https://www.foxnews.com/politics/white-house-grilled-harris-gun-ownership-mandatory-gun-buybacks.print,www.foxnews.com,politics,white-house-grilled-harris-gun-ownership-mandatory-gun-buybacks.print,fox,"White House grilled on Harris' gun ownership, mandatory gun buybacks"
https://www.foxnews.com/media/tom-cotton-turns-tables-cnns-dana-bash-guns-brings-up-harris-past-remarks-school-shootings,www.foxnews.com,media,tom-cotton-turns-tables-cnns-dana-bash-guns-brings-up-harris-past-remarks-school-shootings,fox,"Tom Cotton turns tables on CNN's Dana Bash on guns, brings up Harris' past remarks on school shootings"
https://www.foxnews.com/politics/kamala-rides-tsunami-positive-press-skeptics-see-risky-choice,www.foxnews.com,politics,kamala-rides-tsunami-positive-press-skeptics-see-risky-choice,fox,"Kamala rides tsunami of positive press, but skeptics see a risky choice"
https://www.foxnews.com/politics/harris-running-mate-faces-renewed-scrutiny-weird-socialism-comparison-resurfaces,www.foxnews.com,politics,harris-running-mate-faces-renewed-scrutiny-weird-socialism-comparison-resurfaces,fox,Harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces
https://www.foxnews.com/world/israeli-american-reservist-killed-hezbollah-missile-israel-idf-says,www.foxnews.com,world,israeli-american-reservist-killed-hezbollah-missile-israel-idf-says,fox,"Israeli-American reservist killed by Hezbollah missile in Israel, IDF says"
https://www.foxnews.com/us/david-mccullough-american-historian-presidential-medal-freedom-recipient-dies,www.foxnews.com,us,david-mccullough-american-historian-presidential-medal-freedom-recipient-dies,fox,"David McCullough, American historian and Presidential Medal of Freedom recipient, dies at 89"
https://www.foxnews.com/politics/lorie-smith-web-designer-free-speech,www.foxnews.com,politics,lorie-smith-web-designer-free-speech,fox,Web designer who refuses to create sites for same-sex weddings says Colorado law violates free speech rights
https://www.foxnews.com/entertainment/simon-cowell-reveals-son-changed-judging-style-empathy,www.foxnews.com,entertainment,simon-cowell-reveals-son-changed-judging-style-empathy,fox,Simon Cowell reveals how his son changed his judging style: ‘I have much more empathy’
https://www.foxnews.com/lifestyle/walking-dead-syndrome-rare-conditions-baffle-doctors-researchers,www.foxnews.com,lifestyle,walking-dead-syndrome-rare-conditions-baffle-doctors-researchers,fox,Rare Disease Day: Walking Dead Syndrome and other rare conditions baffle doctors and researchers
https://www.foxnews.com/media/cnn-calls-out-harris-using-trumps-border-wall-campaign-ad-after-condemning-years,www.foxnews.com,media,cnn-calls-out-harris-using-trumps-border-wall-campaign-ad-after-condemning-years,fox,CNN calls out Harris for using Trump's border wall in campaign ad after condemning it for years
https://www.foxnews.com/entertainment/taylor-swift-steals-nyc-spotlight-dinner-blake-lively-sophie-turner-brittany-mahomes,www.foxnews.com,entertainment,taylor-swift-steals-nyc-spotlight-dinner-blake-lively-sophie-turner-brittany-mahomes,fox,"Taylor Swift steals NYC spotlight during dinner with Blake Lively, Sophie Turner and Brittany Mahomes"
https://www.foxnews.com/health/ozempic-happy-drug-study-suggests-weight-loss-medications-reduce-depression-anxiety,www.foxnews.com,health,ozempic-happy-drug-study-suggests-weight-loss-medications-reduce-depression-anxiety,fox,"Ozempic, the happy drug? Study suggests weight-loss medications could reduce depression, anxiety"
